,Name,Symbol,Market Cap,Price,Circulating Supply,Volume(24h),% 1h,% 24h,% 7d,minable
56,BRETTBrett (Based),BRETT,133499534073.0,13.0,827108329527.0,3164338578.0,0.98,-2.9,-3.94,0
57,THETATheta Network,THETA,130820957649.0,131.0,83460000000.0,1205919299.0,1.98,-1.65,-4.17,0
58,RUNETHORChain,RUNE,121122935528.0,361.0,28066699970.0,16011918094.0,1.46,3.41,2.47,0
59,NOTNotcoin,NOT,116090615594.0,1.0,8553901172844.0,17295805976.0,0.96,-3.61,-12.0,0
60,JASMYJasmyCoin,JASMY,113710826638.0,2.0,4114577973042.0,5463170166.0,0.69,-3.93,-10.91,0
61,AAVEAave,AAVE,113259434480.0,7617.0,1240863750.0,8631730735.0,2.69,-8.1,-0.14,0
62,ALGOAlgorand,ALGO,101759888114.0,12.0,682886520498.0,2319644091.0,1.19,1.42,4.67,0
63,PYTHPyth Network,PYTH,100116125804.0,28.0,302541576849.0,3964699030.0,3.02,1.75,-1.37,0
64,JUPJupiter,JUP,98381490660.0,73.0,112671000000.0,8209562513.0,3.76,3.09,6.2,0
65,CORECore,CORE,97982258331.0,109.0,74785971236.0,3977095594.0,0.57,-1.98,-6.62,0
66,TIACelestia,TIA,95984174270.0,493.0,16253180507.0,4353696826.0,2.19,-0.53,-15.15,0
67,SEISei,SEI,86687034732.0,28.0,254553000000.0,4696788867.0,2.89,-0.29,-10.99,0
68,FLRFlare,FLR,83866755079.0,2.0,3576674933975.0,737722303.0,0.79,-2.21,-2.47,0
69,ENSEthereum Name Service,ENS,82052839279.0,2594.0,2640433785.0,13215511007.0,-0.46,-1.6,23.23,0
70,QNTQuant,QNT,81356826945.0,6739.0,1007590713.0,968148269.0,0.94,1.46,5.57,0
71,KCSKuCoin Token,KCS,79097008902.0,828.0,7973809462.0,60189432.0,-0.08,-0.91,2.09,0
72,FLOWFlow,FLOW,78629482507.0,52.0,126173167480.0,2126676392.0,1.66,-0.52,-3.07,0
73,AKTAkash Network,AKT,76821491281.0,316.0,20252544314.0,4687939771.0,0.28,4.18,23.36,0
74,STRKStarknet,STRK,76440635175.0,52.0,121863325379.0,4346774319.0,2.42,-6.88,-15.76,0
75,BEAMBeam,BEAM,75388488589.0,2.0,4128432707861.0,3591682155.0,0.36,5.6,8.85,0
76,GALAGala,GALA,74249647261.0,2.0,2676185755840.0,6636096475.0,2.4,0.52,-3.91,0
77,AXSAxie Infinity,AXS,73317828296.0,497.0,12302381907.0,2413221363.0,1.93,-0.37,-4.83,0
78,BSVBitcoin SV,BSV,73233804691.0,3713.0,1646116299.0,2239213856.0,1.02,-0.9,-3.14,1
79,EOSEOS,EOS,72887641154.0,49.0,125122584601.0,5340044298.0,1.01,-0.06,0.0,0
80,EGLDMultiversX,EGLD,72773292775.0,2682.0,2264787002.0,3848622111.0,2.18,1.93,6.85,0
81,BTTBitTorrent [New],BTT,69933611844.0,,8.080984692853565e+16,1365365289.0,0.17,-0.79,-1.4,0
82,NEONeo,NEO,68070146843.0,965.0,5887170835.0,1893745708.0,1.21,-0.31,-0.03,0
83,ORDIORDI,ORDI,67461625377.0,3212.0,1752660000.0,7205675921.0,2.13,1.2,4.31,0
84,DYDXdYdX (Native),DYDX,67036401434.0,113.0,49535691561.0,1387469920.0,0.94,-0.22,-4.0,0
85,XTZTezos,XTZ,65955532507.0,67.0,82423684691.0,1308874720.0,1.1,0.57,-0.06,0
86,ENAEthena,ENA,63804962685.0,42.0,126885281250.0,4342290431.0,0.0,-2.38,-13.3,0
87,SANDThe Sandbox,SAND,62804055616.0,28.0,190391616544.0,4395997358.0,1.72,-0.63,-2.91,0
88,GNOGnosis,GNO,61658488329.0,23810.0,216127014.0,781035706.0,-0.02,-1.58,-2.2,0
89,USDDUSDD,USDD,61166654209.0,83.0,61400986187.0,339578376.0,-0.26,-0.21,-0.04,0
90,GTGateToken,GT,60732757020.0,653.0,7770331979.0,151006264.0,0.36,-0.1,0.68,0
91,CFXConflux,CFX,59419942320.0,14.0,345678730810.0,2516040911.0,2.89,-0.72,8.1,1
92,OMMANTRA,OM,57435556047.0,69.0,69327034913.0,1509181474.0,0.37,0.1,9.04,0
93,RONRonin,RON,57137223938.0,171.0,27919170232.0,670637322.0,1.06,-1.76,-6.63,0
94,PENDLEPendle,PENDLE,56819482370.0,366.0,12945012723.0,6590231866.0,2.32,-13.05,-22.72,0
95,NEXONexo,NEXO,56520744478.0,101.0,46737600918.0,331180631.0,0.66,-1.12,0.56,0
96,CHZChiliz,CHZ,56284091561.0,6.0,741816680646.0,3797972740.0,2.19,0.52,-5.53,0
97,ROSEOasis,ROSE,55638673515.0,8.0,560317045651.0,1863743507.0,2.06,0.32,5.58,0
98,BOMEBOOK OF MEME,BOME,55337417550.0,1.0,5755929703749.0,10183589898.0,1.88,-4.12,1.42,0
99,MANADecentraland,MANA,55311837144.0,29.0,159268375933.0,3005787947.0,1.87,1.36,1.7,0
100,WWormhole,W,55229255560.0,31.0,150228000000.0,4893939665.0,1.56,-3.24,2.58,0
101,ZKzkSync,ZK,55081790253.0,15.0,306715500000.0,12798928512.0,2.25,-5.94,3.55,0
102,SNXSynthetix,SNX,54266867451.0,165.0,27355617098.0,1287339453.0,0.99,-1.81,-2.32,0
103,XECeCash,XEC,52462649451.0,0.0,1646115354016175.0,452662670.0,1.08,-1.53,-4.05,0
104,AIOZAIOZ Network,AIOZ,51882741329.0,47.0,92190834477.0,606745019.0,2.4,-3.42,11.81,0
105,DEXEDeXe,DEXE,52788105978.0,925.0,4765832905.0,965856040.0,2.44,-3.08,0.22,0
106,MINAMina,MINA,51022224912.0,45.0,94064067470.0,1296759917.0,1.87,-1.28,-2.3,0
107,SAFESafe,SAFE,50572606947.0,119.0,35621983739.0,1080094752.0,0.58,0.47,0.65,0
108,WLDWorldcoin,WLD,49861302238.0,192.0,21663962246.0,14581133936.0,1.43,-0.94,-21.0,0
109,HNTHelium,HNT,49407292607.0,307.0,13426664389.0,871010593.0,2.69,10.09,6.21,1
110,DOGDog (Runes),DOG,49305620717.0,0.0,8346000000000.0,1601877659.0,0.06,-7.64,-5.32,0
111,MOGMog Coin,MOG,49035097897.0,0.0,3.0082963902324988e+16,3092598115.0,-0.09,-9.77,11.04,0
112,KLAYKlaytn,KLAY,48463513908.0,13.0,308807118602.0,649355689.0,0.96,-1.66,-4.42,0
113,XAUtTether Gold,XAUt,47976828268.0,194613.0,20574893.0,197126928.0,0.11,-0.1,0.42,0
114,IOTAIOTA,IOTA,47658762292.0,14.0,277520683896.0,549671149.0,1.56,0.29,-5.63,0
115,CAKEPancakeSwap,CAKE,47449174034.0,178.0,22299840064.0,1446070858.0,0.66,-0.95,-1.98,0
116,APEApeCoin,APE,47178167646.0,78.0,50484606222.0,3415606008.0,1.47,-0.88,-4.22,0
117,LPTLivepeer,LPT,45843232625.0,1385.0,2761366908.0,1712108706.0,2.44,-1.91,-5.64,0
118,WEMIXWEMIX,WEMIX,43804691495.0,108.0,33998014469.0,880587962.0,0.59,-4.55,11.3,0
119,RAYRaydium,RAY,43681268260.0,166.0,21945138652.0,2662825519.0,4.04,8.76,27.65,0
120,CKBNervos Network,CKB,42965586825.0,1.0,3712272880210.0,1019674553.0,1.15,-3.41,-5.52,1
121,TFUELTheta Fuel,TFUEL,42393562668.0,6.0,550883832011.0,212102239.0,1.34,-0.4,0.71,0
122,1INCH1inch Network,1INCH,41452059588.0,33.0,104550697289.0,1585813612.0,0.89,-0.13,-1.22,0
123,TUSDTrueUSD,TUSD,41213590248.0,83.0,41329515938.0,3031760115.0,0.0,-0.12,-0.13,0
124,KAVAKava,KAVA,39156666887.0,36.0,90375180288.0,978246511.0,1.79,-1.34,-7.54,0
125,FTTFTX Token,FTT,38610924617.0,118.0,27449585380.0,1029058712.0,0.7,0.07,-2.4,0
126,AXLAxelar,AXL,38122663420.0,54.0,59052241847.0,1151295063.0,2.22,-1.0,10.73,0
127,TWTTrust Wallet Token,TWT,37953394605.0,91.0,34773600654.0,1537971001.0,0.46,1.96,7.23,0
128,PEOPLEConstitutionDAO,PEOPLE,37606876864.0,7.0,422319061979.0,7202746058.0,0.46,-5.67,-4.4,0
129,NFTAPENFT,NFT,37572683302.0,,8.34591654e+16,1387431028.0,0.12,-0.38,0.5,0
130,LUNCTerra Classic,LUNC,37271600017.0,0.0,456714668379076.0,1182628117.0,1.15,-0.46,-0.44,0
131,BTGBitcoin Gold,BTG,36657101397.0,2093.0,1461712097.0,134477763.0,0.66,-1.49,-4.11,1
132,ZROLayerZero,ZRO,36177102906.0,329.0,9180600000.0,37653931863.0,2.54,3.46,37.75,0
133,AEVOAevo,AEVO,36137727814.0,43.0,70156253412.0,3247232302.0,3.07,0.9,0.05,0
134,XDCXDC Network,XDC,36114967187.0,2.0,1244174318286.0,592857693.0,-0.13,-1.06,-8.1,0
135,MXMX Token,MX,35982305931.0,366.0,8209862886.0,3205371771.0,0.01,-1.1,10.44,0
136,PAXGPAX Gold,PAXG,35949837153.0,193432.0,15511291.0,317131642.0,0.07,0.27,0.65,0
137,ASTRAstar,ASTR,34924536812.0,6.0,476639761213.0,6517539208.0,0.37,0.27,3.42,0
138,COMPCompound,COMP,34558788135.0,4134.0,697677527.0,2759203457.0,1.66,-0.95,0.44,0
139,PYUSDPayPal USD,PYUSD,34544377597.0,83.0,34561072351.0,2497593163.0,,0.1,0.09,0
140,WOOWOO,WOO,34051548884.0,18.0,159703232161.0,535789080.0,1.95,-2.11,-3.94,0
141,RPLRocket Pool,RPL,33192334110.0,1623.0,1706378092.0,315738611.0,1.02,-2.93,-14.87,0
142,MEWcat in a dogs world,MEW,33059239697.0,0.0,7418666666592.0,4217039255.0,0.85,-7.39,9.59,0
143,SSVssv.network,SSV,32700365703.0,3270.0,834600000.0,1911142444.0,1.54,-2.39,2.24,0
144,IOTXIoTeX,IOTX,32063139088.0,3.0,787977485414.0,850285723.0,0.7,-2.18,-2.01,0
145,SFPSafePal,SFP,32029756591.0,69.0,38600250000.0,400554001.0,-0.7,0.11,10.15,0
146,1000SATSSATS,1000SATS,31592398649.0,0.0,175266000000000.0,1713590287.0,1.53,-3.01,5.06,0
147,ANTAragon,ANT,31282393072.0,724.0,3603794621.0,320609086.0,0.32,-1.36,0.16,0
148,MEMEMemecoin,MEME,31204179702.0,1.0,1753890113852.0,3541935738.0,2.68,-3.83,-11.49,0
149,KSMKusama,KSM,30534636958.0,2015.0,1264990117.0,861097799.0,0.91,0.7,-0.13,0
150,BLASTBlast,BLAST,30498754833.0,2.0,1451107279431.0,10072532847.0,0.77,-3.34,-0.29,0
151,OSMOOsmosis,OSMO,30306578001.0,45.0,55845356446.0,902287896.0,1.0,-0.86,-1.64,0
152,CRVCurve DAO Token,CRV,29375098301.0,24.0,104018831580.0,6649687685.0,1.08,-1.11,-13.57,0
153,BNXBinaryX,BNX,29331182233.0,80.0,30693108553.0,4232581426.0,0.28,21.73,-18.99,0
154,ARKMArkham,ARKM,29289641854.0,144.0,17075916000.0,4972290661.0,2.03,6.02,-13.94,0
155,GLMGolem,GLM,28936010734.0,29.0,83460000000.0,581144666.0,1.31,-2.8,-7.69,0
156,BLURBlur,BLUR,28923498745.0,17.0,142910500448.0,4015325949.0,2.17,-0.3,-17.74,0
157,GMTGMT,GMT,28665008436.0,14.0,176228844886.0,972152846.0,2.07,,-4.51,0
158,MANTAManta Network,MANTA,28629333793.0,84.0,28301320719.0,1915539534.0,1.69,-2.22,-2.7,0
159,ZECZcash,ZEC,28290265274.0,1733.0,1362757331.0,3281740508.0,1.05,0.37,2.25,1
160,ETHDYDXdYdX (ethDYDX),ETHDYDX,27765109666.0,113.0,20520161641.0,2790789479.0,0.99,-0.18,-4.03,0
161,LUNATerra,LUNA,27674050048.0,35.0,65377432712.0,1017085958.0,1.31,-1.06,-1.77,0
162,ZILZilliqa,ZIL,27414648773.0,1.0,1556579388558.0,1146274443.0,1.7,0.67,-2.7,1
163,TRACOriginTrail,TRAC,27319290632.0,67.0,33961946479.0,154964021.0,0.32,0.21,13.48,0
164,XRDRadix,XRD,27259018575.0,3.0,875207691430.0,117119001.0,0.55,0.68,5.31,0
165,SUPERSuperVerse,SUPER,27053589546.0,55.0,40709792722.0,310026442.0,1.85,-0.77,-3.11,0
166,PRIMEEchelon Prime,PRIME,26756225155.0,748.0,2985684770.0,185950215.0,-0.3,-3.24,-5.8,0
167,CELOCelo,CELO,26594654774.0,49.0,45268435342.0,1731972102.0,1.78,-1.0,-3.3,0
168,HOTHolo,HOT,26337075431.0,0.0,14486407832722.0,642835377.0,1.41,-2.0,-2.49,0
169,ENJEnjin Coin,ENJ,26274021818.0,16.0,135546382978.0,990642992.0,1.15,-1.76,-5.83,0
170,ETHFIether.fi,ETHFI,25999932251.0,225.0,9614592000.0,8953033457.0,0.22,-10.18,-18.61,0
171,ILVIlluvium,ILV,25732015886.0,5761.0,372787611.0,418552401.0,1.12,-0.56,2.53,0
172,ZRX0x Protocol,ZRX,25462167840.0,30.0,70732020750.0,745956466.0,2.1,-1.0,-4.32,0
173,JTOJito,JTO,24923531272.0,202.0,10280683255.0,2857398738.0,2.29,0.71,-2.15,0
174,JSTJUST,JST,24765462872.0,3.0,826254000000.0,1456634641.0,0.1,0.39,5.44,0
175,ANKRAnkr,ANKR,24746883758.0,2.0,834600000000.0,785054806.0,1.96,-3.26,-7.77,0
176,IDSPACE ID,ID,24189503326.0,38.0,53726014101.0,982564648.0,1.49,-1.73,0.24,0
177,DASHDash,DASH,24078627467.0,2030.0,990182209.0,2566326479.0,0.81,-1.05,0.25,1
178,IOio.net,IO,23919690249.0,252.0,7928700000.0,7538505721.0,2.92,-4.53,-15.69,0
179,BATBasic Attention Token,BAT,23872723969.0,16.0,124762996607.0,4041243284.0,1.34,-0.78,-2.46,0
180,DYMDymension,DYM,23729574295.0,126.0,15745747462.0,1368290478.0,3.26,0.07,-7.16,0
181,CVXConvex Finance,CVX,23465071694.0,243.0,8070148592.0,2392524201.0,0.12,-6.79,-4.56,0
182,RSRReserve Rights,RSR,23363407983.0,0.0,4223076000000.0,979638958.0,2.28,-0.56,-6.98,0
183,RVNRavencoin,RVN,23042275937.0,2.0,1169691088018.0,748339917.0,1.15,-1.09,-3.3,1
184,GMXGMX,GMX,23000571392.0,2405.0,798087919.0,740636976.0,1.14,-0.8,-0.79,0
185,METISMetis,METIS,22957358725.0,4037.0,474581436.0,728701779.0,1.27,-0.39,-5.5,0
186,SKLSKALE,SKL,22509265490.0,4.0,458527376422.0,1659874180.0,0.85,-3.68,-7.55,0
187,QTUMQtum,QTUM,22509222675.0,214.0,8781354318.0,2348294240.0,1.13,-1.29,-1.15,0
188,ETHWEthereumPoW,ETHW,22385782498.0,208.0,8998573657.0,444303900.0,1.13,-0.97,4.41,0
189,BICOBiconomy,BICO,22352306024.0,31.0,60321445943.0,411796063.0,2.02,-2.51,-5.86,0
190,SCSiacoin,SC,22315006665.0,0.0,4804967439293.0,143838887.0,0.87,-0.21,0.3,1
191,CSPRCasper,CSPR,22134141000.0,2.0,1012215421117.0,251322180.0,0.4,1.07,0.7,0
192,GALGalxe,GAL,21797605743.0,189.0,9640742605.0,1032615610.0,2.55,2.56,-3.93,0
193,ELFaelf,ELF,21293719331.0,29.0,61035291091.0,1407263878.0,0.34,-1.4,-4.82,0
194,MASKMask Network,MASK,21236078099.0,212.0,8346000000.0,1830487952.0,0.99,0.42,-1.06,0
195,ZETAZetaChain,ZETA,20649676538.0,73.0,23770451250.0,1889397359.0,2.96,2.33,0.89,0
196,TRBTellor,TRB,20532845809.0,7903.0,216839846.0,2191546094.0,0.93,0.1,-5.2,1
197,ABTArcblock,ABT,20354038517.0,206.0,8225342295.0,455651289.0,-0.67,5.19,-10.34,0
198,POLYXPolymesh,POLYX,20074036811.0,23.0,71583062287.0,1143107720.0,2.32,-1.88,-11.1,0
199,GASGas,GAS,20054874061.0,309.0,5424259945.0,491714689.0,1.42,-0.41,0.98,0
200,USDeEthena USDe,USDe,300859959086.0,83.0,301286035740.0,7372949875.0,,-0.01,-0.17,0
201,ZBUZeebu,ZBU,124977298351.0,379.0,27517411903.0,2372642944.0,0.08,-2.56,0.89,0
202,FLZFellaz,FLZ,103456103115.0,219.0,39382682492.0,565215908.0,0.86,-0.09,0.56,0
203,CHEELCheelee,CHEEL,92168403601.0,1712.0,4493319146.0,539990874.0,0.23,-0.06,2.7,0
204,FTNFasttoken,FTN,56398668370.0,185.0,25442801865.0,2072301201.0,0.17,0.18,-0.12,0
205,FRAXFrax,FRAX,54036792684.0,83.0,54201784258.0,1762504858.0,0.0,0.02,-0.08,0
206,POPCATPopcat (SOL),POPCAT,51812856849.0,53.0,81788562020.0,5682714867.0,1.36,1.88,33.79,0
207,IPVIPVERSE,IPV,32932990756.0,219.0,12519083460.0,23668839.0,0.17,0.85,-5.28,0
208,PEPECOINPepeCoin,PEPECOIN,32342292675.0,280.0,9660665091.0,186516241.0,0.73,-5.01,7.53,0
209,USDBUSDB,USDB,32242965510.0,83.0,32344822347.0,1834244236.0,0.06,-0.03,0.17,0
210,ORBROrbler,ORBR,27109468771.0,27.0,84760870155.0,5446516.0,-0.33,-6.1,-0.33,0
211,AEROAerodrome Finance,AERO,26212181213.0,51.0,43103259353.0,1949860290.0,-0.17,-8.65,-20.25,0
212,MGCMeta Games Coin,MGC,23031785098.0,21.0,91805974962.0,2161030.0,0.5,0.69,4.66,0
213,TRUMPMAGA,TRUMP,22650833848.0,515.0,3672019415.0,580619536.0,0.06,-6.23,-29.68,0
214,TURBOTurbo,TURBO,22432918870.0,0.0,5314290559982.0,5636424279.0,1.75,-5.13,-22.47,0
215,ATHAethir,ATH,22192805535.0,6.0,315478800000.0,2403987849.0,1.97,-1.48,2.69,0
216,TRIBETribe,TRIBE,21816888675.0,41.0,44914653911.0,30942628.0,0.4,-0.61,0.4,0
217,BDXBeldex,BDX,20334893127.0,3.0,538172625217.0,96968919.0,0.03,1.7,1.69,0
218,GASGas,GAS,20052276619.0,309.0,5424259945.0,491683141.0,1.38,-0.4,0.98,0
219,LRCLoopring,LRC,19826607622.0,15.0,114073709716.0,831739575.0,1.36,-2.97,-5.63,0
220,XCHChia,XCH,19745529404.0,1857.0,887559543.0,476548838.0,0.45,-4.4,-8.29,0
221,FXSFrax Share,FXS,19529229878.0,244.0,6699134898.0,956472715.0,1.05,-2.82,-12.53,0
222,DCRDecred,DCR,19133475327.0,1183.0,1348980839.0,124073806.0,0.88,-6.71,-9.53,1
223,TThreshold,T,18718527647.0,2.0,813406912814.0,428671091.0,1.21,-1.52,-4.06,0
224,RLBRollbit Coin,RLB,18600530731.0,7.0,222583861492.0,183053903.0,1.12,-3.31,-3.37,0
225,FLUXFlux,FLUX,18489213118.0,53.0,29146046003.0,604154922.0,1.14,-2.17,-3.04,1
226,SUSHISushiSwap,SUSHI,18325946413.0,70.0,21797342176.0,1231564136.0,1.48,0.33,0.99,0
227,YFIyearn.finance,YFI,18302197619.0,549746.0,2778550.0,1598438773.0,-0.09,2.11,12.41,0
228,YGGYield Guild Games,YGG,18190940849.0,50.0,30501233345.0,3474762874.0,2.78,1.78,-0.21,0
229,PAALPAAL AI,PAAL,18101949370.0,22.0,68314353807.0,254367051.0,0.84,-5.25,-7.34,0
230,H2OH2O DAO,H2O,18067559511.0,22.0,67463499972.0,394528774.0,0.38,20.31,38.98,0
231,TELTelcoin,TEL,17866696495.0,0.0,7440410627752.0,52626454.0,0.06,-3.08,-9.56,0
232,PONKEPonke,PONKE,17677090064.0,41.0,35869219634.0,2531645928.0,2.18,5.55,39.05,0
233,AMPAmp,AMP,17175668978.0,0.0,3524324024444.0,556287357.0,0.64,-0.51,-2.23,0
234,ONEHarmony,ONE,16938996949.0,1.0,1172396551748.0,312098169.0,1.78,-2.09,-6.78,0
235,BabyDogeBaby Doge Coin,BabyDoge,16787368156.0,,1.2000613212388407e+19,295453658.0,0.36,-1.21,-3.6,0
236,VANRYVanar Chain,VANRY,16734727097.0,11.0,121928764529.0,699889300.0,1.5,-1.73,-8.78,0
237,BBBounceBit,BB,16639415443.0,38.0,36145611362.0,3315057490.0,1.43,0.72,5.68,0
238,GLMRMoonbeam,GLMR,16576577491.0,19.0,73693921840.0,273155650.0,1.54,-1.96,4.84,0
239,EDUOpen Campus,EDU,16555239106.0,50.0,27528759375.0,409144790.0,1.71,-0.01,-3.18,0
240,ACHAlchemy Pay,ACH,16526770649.0,2.0,654248008860.0,1332036456.0,3.32,7.99,8.3,0
241,RSS3RSS3,RSS3,16316309651.0,17.0,80749701933.0,920143746.0,-0.03,4.08,-25.72,0
242,NMTNetMind Token,NMT,16276229738.0,487.0,2791754360.0,185228453.0,0.24,-5.68,-7.42,0
243,CHRChromia,CHR,16289554628.0,20.0,67805778279.0,2050070962.0,1.43,2.34,8.41,0
244,API3API3,API3,16102117322.0,186.0,7212778284.0,555795861.0,2.25,-0.74,-1.97,0
245,MWCMimbleWimbleCoin,MWC,15960813784.0,1456.0,914582472.0,80289.0,0.66,-3.56,10.26,1
246,VTHOVeThor Token,VTHO,15850188889.0,0.0,6496120264611.0,127401273.0,0.99,0.69,-2.51,0
247,AUDIOAudius,AUDIO,15803330689.0,13.0,103410410601.0,432306025.0,0.76,-1.12,-2.16,0
248,UMAUMA,UMA,15639849492.0,191.0,6819363868.0,1485849731.0,1.3,-4.7,-12.44,0
249,ONTOntology,ONT,15487334771.0,17.0,75589543145.0,365279048.0,1.57,-3.2,-4.47,0
